Прайс-лист на 18 июня 2018 г.;;;;;;;;;
Курс 61;;;;;;;;;
Ценовая группа;;ВАШ ЗАКАЗ;Розница;1 Оптовая У.Е.;;;;;
Артикул;Номенклатура;;руб.;У.Е;;;;;
;;;Включает НДС;Включает НДС;;;;;
;;;Цена;Цена;;;;;
;;;;;;;;;
;Товары;;;;;;;;
;Набор для заправки BURSTEN Plug-n-Print ;;;;;;;;
2771111151056.0;Чернила OCP 230 MP для CAN Maxify PGI-1400/2400 XL, 25 gr;;390.0;4.41;;;;;C7O
2771111151063.0;Чернила OCP 230 YP для CAN Maxify PGI-1400/2400 XL, 25 gr;;390.0;4.41;;;;;C7O
2771111150301.0;Чернила ОСР 10 G для картриджей CAN BCI-6, 25 g;;170.0;1.56;;;;;C7O
2771111150318.0;Чернила ОСР 10 R для картриджей CAN BCI-6, 25 g;;170.0;1.56;;;;;C7O
2771111150332.0;Чернила ОСР 122 C для картриджей CAN CLI-8, 25 g;;180.0;1.67;;;;;C7O
2771111150288.0;Чернила ОСР 122 G для картриджей CAN CLI-8, 25 g;;180.0;1.67;;;;;C7O
2771111150349.0;Чернила ОСР 122 M для картриджей CAN CLI-8, 25 g;;180.0;1.67;;;;;C7O
2771111150356.0;Чернила ОСР 122 R для картриджей CAN CLI-8, 25 g;;180.0;1.67;;;;;C7O
2771111150363.0;Чернила ОСР 122 Y для картриджей CAN CLI-8, 25 g;;180.0;1.67;;;;;C7O
2771111150066.0;Чернила ОСР 123 BK Grey для картриджей CAN CLI-521/426, 25 g;;300.0;2.83;;;;;C7O
2771111150073.0;Чернила ОСР 124 BK Photo  Black для картриджей CAN CLI-521/425, 25 g;;300.0;2.83;;;;;C7O
2771111150370.0;Чернила ОСР 125 CL для картриджей CAN CLI-8, 25 g;;170.0;1.56;;;;;C7O
2771111150387.0;Чернила ОСР 125 ML для картриджей CAN CLI-8, 25 g;;170.0;1.56;;;;;C7O
2771111150110.0;Чернила ОСР 130 BK Grey для картриджей CAN CLI-451GY, 25 g;;220.0;2.17;;;;;C7O
2771111150394.0;Чернила ОСР 133 C для картриджей CAN CLI-8, 25 g;;280.0;2.67;;;;;C7O
2771111150127.0;Чернила ОСР 135 BK для картриджей CAN CLI-451BK, 25 g;;260.0;2.45;;;;;C7O
2771111150141.0;Чернила ОСР 135 M для картриджей CAN CLI-451M, 25 g;;310.0;2.93;;;;;C7O
2771111150158.0;Чернила ОСР 135 Y для картриджей CAN CLI-451Y, 25 g;;310.0;2.93;;;;;C7O
2771111150165.0;Чернила ОСР 136 C для картриджей CAN CLI-445/446, 25 g;;140.0;1.34;;;;;C7O
2771111150172.0;Чернила ОСР 136 M для картриджей CAN CLI-445/446, 25 g;;140.0;1.34;;;;;C7O
2771111150189.0;Чернила ОСР 136 Y для картриджей CAN CLI-445/446, 25 g;;140.0;1.34;;;;;C7O
2771111150080.0;Чернила ОСР 144 M для картриджей CAN CLI-521/426, 25 g;;180.0;1.67;;;;;C7O
